name,planned_n_steps,executed_n_steps,execution_time,simulation_exceptions,contract_exceptions,mechanism_exceptions,other_exceptions,n_agent_exceptions,n_negotiator_exceptions,mean_agent_time,n_neg_requests_sent,n_neg_requests_received,n_neg_requests_rejected,n_negs_registered,n_negs_succeeded,n_negs_failed,n_negs_timedout,n_negs_initiated,n_contracts_concluded,n_contracts_signed,n_contracts_dropped,n_breaches_received,n_breaches_committed,n_contracts_erred,n_contracts_nullified,n_contracts_breached,n_contracts_executed
000120251205H113942213462aczN_LitaAgentY-LitaAgentN-LitaAgentPShl.04,81,81,82.35466899700259,[],[],[],[],0,0,3.210580496884444e-07,2911,5822,0,5822,2768,3054,274,2911,4344,8648,166,0,0,0,0,0,4158
000320251205H1139423651402d3f_L-U-Kl8m.09,70,70,27.391641686001094,[],[],[],[],0,0,3.2000098144635557e-07,940,1880,0,1880,570,1310,232,940,1658,3288,10,0,0,0,0,0,1634
000320251205H1139423651402d3f_L-X-P1HF.11,70,70,42.31250326299778,[],[],[],[],0,0,3.036991984117776e-07,1002,2004,0,2004,648,1356,58,1002,1736,3444,16,0,0,0,0,0,1706
000220251205H1139423084075ixF_L-P-O2pM.08,58,58,20.668999114001053,[],[],[],[],0,0,3.0459923436865213e-07,928,1856,0,1856,610,1240,296,928,1498,2964,0,0,0,0,0,0,1482
000020251205H113942142818qBUX_LitaAgentY-LitaAgentP-Ufrw.01,82,82,73.84847135699965,[],[],[],[],0,0,2.8658713049748367e-07,2873,5746,0,5746,1268,4478,106,2873,2642,5248,108,0,0,0,0,0,2516
000320251205H1139423651402d3f_L-P-K6Xn.10,70,70,18.96436955500394,[],[],[],[],0,0,2.940010745078325e-07,944,1888,0,1888,702,1186,68,944,1790,3552,24,0,0,0,0,0,1752
000020251205H113942142818qBUX_L-X-P0z2.02,82,82,68.18382780000684,[],[],[],[],0,0,2.919978749773958e-07,3113,6226,0,6226,1738,4488,26,3113,3112,6188,124,0,0,0,0,0,2970
000220251205H1139423084075ixF_LitaAgentY-LitaAgentYR-OFcz.07,58,58,20.96246094799426,[],[],[],[],0,0,2.895976649597287e-07,928,1856,0,1856,832,1024,166,928,1720,3408,0,0,0,0,0,0,1704
000020251205H113942142818qBUX_L-P-OfLh.00,82,82,76.81260116500198,[],[],[],[],0,0,3.0600024140713844e-07,2807,5614,0,5614,1800,3814,100,2807,3174,6312,134,0,0,0,0,0,3022
000220251205H1139423084075ixF_X-U-PQyR.08,58,58,33.55543017599848,[],[],[],[],0,0,3.007000486832112e-07,928,1856,0,1856,670,1186,88,928,1558,3084,0,0,0,0,0,0,1542
000420251205H113942444814iCAZ_L-U-OYtp.12,100,100,481.58938529199804,[],[],[],[],0,0,3.082990588154644e-07,1376,2752,0,2752,926,1826,184,1376,2448,4864,10,0,0,0,0,0,2422
000420251205H113942444814iCAZ_L-P-KYPW.13,100,100,497.84220831200946,[],[],[],[],0,0,3.0490191420540215e-07,1456,2912,0,2912,700,2212,184,1456,2222,4412,14,0,0,0,0,0,2192
000420251205H113942444814iCAZ_LitaAgentN-LitaAgentP-X2n3.14,100,100,33.78495357000065,[],[],[],[],0,0,3.3379983506165444e-07,1428,2856,0,2856,746,2110,122,1428,2268,4504,12,0,0,0,0,0,2240
000220251205H1139423084075ixF_X-U-KSyR.08,58,58,20.109824244005722,[],[],[],[],0,0,2.723994839470834e-07,928,1856,0,1856,730,1126,180,928,1618,3204,0,0,0,0,0,0,1602
000220251205H1139423084075ixF_L-P-OIWE.06,58,58,19.753962573995523,[],[],[],[],0,0,2.863002009689808e-07,928,1856,0,1856,834,1016,84,928,1722,3412,0,0,0,0,0,0,1706
000220251205H1139423084075ixF_L-Po-PreW0.07,58,58,24.240117952998844,[],[],[],[],0,0,3.130000550299883e-07,872,1744,0,1744,580,1162,292,872,1468,2904,16,0,0,0,0,0,1436
000020251205H113942142818qBUX_L-X-UfsW.01,82,82,114.54928174499946,[],[],[],[],0,0,3.054703804938232e-07,2987,5974,0,5974,1574,4400,36,2987,2948,5860,124,0,0,0,0,0,2806
000120251205H113942213462aczN_L-P-KqNZ.04,81,81,95.47682575198996,[],[],[],[],0,0,2.694107345579302e-07,2883,5766,0,5766,2930,2836,790,2883,4506,8972,156,0,0,0,0,0,4330
000020251205H113942142818qBUX_U-Po-PrPT7.00,82,82,83.38766149500589,[],[],[],[],0,0,3.275293719900005e-07,2993,5986,0,5986,1728,4258,74,2993,3102,6168,138,0,0,0,0,0,2946
000320251205H1139423651402d3f_LitaAgentY-LitaAgentP-XMEU.09,70,70,16.30640118700103,[],[],[],[],0,0,3.0709998100064695e-07,982,1964,0,1964,650,1310,104,982,1738,3448,16,0,0,0,0,0,1708
000120251205H113942213462aczN_L-U-O9SJ.04,81,81,101.94065949700598,[],[],[],[],0,0,2.956478377146756e-07,2836,5672,0,5672,2348,3324,1358,2836,3924,7808,156,0,0,0,0,0,3748
000020251205H113942142818qBUX_L-Po-PrWlR.01,82,82,84.60192375200131,[],[],[],[],0,0,2.998815890511169e-07,2909,5818,0,5818,1672,4144,18,2909,3046,6056,160,0,0,0,0,0,2868
000020251205H113942142818qBUX_LitaAgentY-LitaAgentN-PqLl.02,82,82,72.62912280700402,[],[],[],[],0,0,2.8547091299996655e-07,2946,5892,0,5892,1922,3970,76,2946,3296,6556,138,0,0,0,0,0,3140
000420251205H113942444814iCAZ_L-Po-PrlxS.14,100,100,52.70546111400472,[],[],[],[],0,0,3.1680174288339914e-07,1420,2840,0,2840,730,2108,222,1420,2252,4472,2,0,0,0,0,0,2234
000320251205H1139423651402d3f_L-P-KeD7.11,70,70,23.527366100002837,[],[],[],[],0,0,3.156019374728203e-07,966,1932,0,1932,738,1194,96,966,1826,3624,20,0,0,0,0,0,1792
000120251205H113942213462aczN_L-K-OE9c.05,81,81,93.32122405499831,[],[],[],[],0,0,3.0170657041975683e-07,2871,5742,0,5742,2778,2964,278,2871,4354,8668,156,0,0,0,0,0,4178
000220251205H1139423084075ixF_LitaAgentY-LitaAgentN-Pc2k.06,58,58,13.98799469700316,[],[],[],[],0,0,3.5999983083456755e-07,928,1856,0,1856,712,1140,108,928,1600,3168,0,0,0,0,0,0,1584
000420251205H113942444814iCAZ_LitaAgentY-LitaAgentYR-UUVn.13,100,100,58.723743776994525,[],[],[],[],0,0,3.2830284908413886e-07,1481,2962,0,2962,662,2292,416,1481,2184,4336,6,0,0,0,0,0,2162
000420251205H113942444814iCAZ_LitaAgentN-LitaAgentP-OMj7.14,100,100,39.32035386399366,[],[],[],[],0,0,2.839005901478231e-07,1424,2848,0,2848,590,2258,166,1424,2112,4192,10,0,0,0,0,0,2086
000220251205H1139423084075ixF_LitaAgentY-LitaAgentP-UDDG.08,58,58,20.89083046199812,[],[],[],[],0,0,3.088003722950816e-07,928,1856,0,1856,668,1186,230,928,1556,3080,0,0,0,0,0,0,1540
000320251205H1139423651402d3f_LitaAgentY-LitaAgentP-XMEU.10,70,70,36.02661389899731,[],[],[],[],0,0,3.2869938877411186e-07,996,1992,0,1992,634,1358,150,996,1722,3416,14,0,0,0,0,0,1694
