world,agent,contracts_erred,exceptions,contracts_dropped,contracts_signed,breaches_received,breaches_committed,contracts_breached,contracts_concluded,neg_requests_rejected,neg_requests_received,negs_initiated,negs_registered,negs_failed,neg_requests_sent,negs_succeeded,negs_timedout,contracts_executed,times,contracts_nullified,negotiator_exceptions
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,02Ra@0,0,[],0,202,0,0,0,102,0,120,0,120,39,0,81,0,101,3.0011869966983795e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0021152f,01LYR@0,0,[],0,120,0,0,0,61,0,120,0,120,80,0,40,0,60,3.0011869966983795e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,00LYR@0,0,[],0,156,0,0,0,79,0,120,0,120,60,0,58,0,78,8.00006091594696e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,09Ra@1,0,[],0,166,0,0,0,84,0,100,100,100,35,100,63,0,83,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,BUYER,0,[],0,240,0,0,0,126,0,0,0,0,0,0,0,0,120,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,01Li@0,0,[],0,158,0,0,0,80,0,120,0,120,59,0,59,0,79,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,04Eq@0,0,[],0,198,0,0,0,100,0,120,0,120,41,0,79,0,99,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,SELLER,0,[],0,200,0,0,0,105,0,0,0,0,0,0,0,0,100,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,03Gr@0,0,[],0,194,0,0,0,98,0,120,0,120,43,0,77,0,97,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,07Eq@1,0,[],0,144,0,0,0,73,0,100,100,100,46,100,52,0,72,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,06Gr@1,0,[],0,178,0,0,0,90,0,100,100,100,31,100,69,0,89,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,10Eq@1,0,[],0,142,0,0,0,72,0,100,100,100,49,100,51,0,71,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,05MAT@1,0,[],0,136,0,0,0,69,0,100,100,100,52,100,48,0,68,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,08Ra@1,0,[],0,184,0,0,0,93,0,100,100,100,28,100,72,0,92,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.0239a16c,02Ra@0,0,[],0,204,0,0,0,103,0,120,0,120,38,0,82,0,102,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,00MAT@0,0,[],0,146,0,0,0,74,0,80,0,80,27,0,53,0,73,6.00004568696022e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,01LYR@0,0,[],0,112,0,0,0,57,0,80,0,80,44,0,36,1,56,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,BUYER,0,[],0,160,0,0,0,84,0,0,0,0,0,0,0,0,80,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,02Eq@0,0,[],0,122,0,0,0,62,0,80,0,80,39,0,41,0,61,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,SELLER,0,[],0,160,0,0,0,84,0,0,0,0,0,0,0,0,80,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,05Ra@1,0,[],0,142,0,0,0,72,0,80,80,80,29,80,51,0,71,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,03Gr@0,0,[],0,142,0,0,0,72,0,80,0,80,29,0,51,0,71,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,06Gr@1,0,[],0,196,0,0,0,99,0,80,80,80,2,80,78,0,98,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,07Ra@1,0,[],0,144,0,0,0,73,0,80,80,80,28,80,52,1,72,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08a57b20,04Li@1,0,[],0,40,0,0,0,21,0,80,80,80,80,80,0,0,20,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,09Ra@1,0,[],0,156,0,0,0,79,0,100,100,100,42,100,58,0,78,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,BUYER,0,[],0,240,0,0,0,126,0,0,0,0,0,0,0,0,120,4.00003045797348e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,01Li@0,0,[],0,124,0,0,0,63,0,120,0,120,78,0,42,12,62,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,04Eq@0,0,[],0,198,0,0,0,100,0,120,0,120,41,0,79,1,99,2.998858690261841e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,SELLER,0,[],0,200,0,0,0,105,0,0,0,0,0,0,0,0,100,4.00003045797348e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,03Gr@0,0,[],0,166,0,0,0,84,0,120,0,120,57,0,63,13,83,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,07Eq@1,0,[],0,164,0,0,0,83,0,100,100,100,38,100,62,0,82,3.0011869966983795e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,00Li@0,0,[],0,202,0,0,0,102,0,120,0,120,39,0,81,2,101,1.100124791264534e-06,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,06Gr@1,0,[],0,208,0,0,0,105,0,100,100,100,16,100,84,0,104,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,10Eq@1,0,[],0,144,0,0,0,73,0,100,100,100,48,100,52,0,72,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,08Ra@1,0,[],0,166,0,0,0,84,0,100,100,100,37,100,63,0,83,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,02Ra@0,0,[],0,222,0,0,0,112,0,120,0,120,29,0,91,0,111,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0247c86b,05LYR@1,0,[],0,114,0,0,0,58,0,100,100,100,63,100,37,28,57,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,BUYER,0,[],0,160,0,0,0,84,0,0,0,0,0,0,0,0,80,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,02Eq@0,0,[],0,126,0,0,0,64,0,80,0,80,37,0,43,0,63,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,SELLER,0,[],0,160,0,0,0,84,0,0,0,0,0,0,0,0,80,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,05Ra@1,0,[],0,144,0,0,0,73,0,80,80,80,27,80,52,0,72,2.00001522898674e-07,0,[]
