world,type,contracts_erred,exceptions,contracts_dropped,contracts_signed,breaches_received,breaches_committed,contracts_breached,contracts_concluded,neg_requests_rejected,neg_requests_received,negs_initiated,negs_registered,negs_failed,neg_requests_sent,negs_succeeded,negs_timedout,contracts_executed,times,contracts_nullified,negotiator_exceptions
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.oneshot.mat.mat.MATAgent,0,[],0,138,0,0,0,70,0,80,0,80,31,0,49,0,69,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.greedy.GreedyOneShotAgent,0,[],0,346,0,0,0,175,0,160,80,160,27,80,133,0,173,4.00003045797348e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.RandDistOneShotAgent,0,[],0,276,0,0,0,140,0,160,160,160,60,160,98,1,138,4.00003045797348e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,[],0,102,0,0,0,52,0,80,0,80,47,0,31,1,51,8.00006091594696e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06093bae,System,0,[],0,320,0,0,0,168,0,0,0,0,0,0,0,0,160,4.00003045797348e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.068d1db6,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,0,[],0,40,0,0,0,21,0,80,0,80,80,0,0,0,20,8.00006091594696e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.068d1db6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.EqualDistOneShotAgent,0,[],0,132,0,0,0,67,0,80,0,80,34,0,46,2,66,3.0011869966983795e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.068d1db6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.oneshot.mat.mat.MATAgent,0,[],0,160,0,0,0,81,0,80,0,80,20,0,60,4,80,3.0011869966983795e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.068d1db6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.greedy.GreedyOneShotAgent,0,[],0,298,0,0,0,151,0,160,80,160,51,80,109,11,149,4.998873919248581e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.068d1db6,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,[],0,86,0,0,0,44,0,80,80,80,57,80,23,16,43,2.998858690261841e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.068d1db6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.RandDistOneShotAgent,0,[],0,260,0,0,0,132,0,160,160,160,70,160,90,1,130,5.997717380523682e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.068d1db6,System,0,[],0,320,0,0,0,168,0,0,0,0,0,0,0,0,160,4.998873919248581e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNQAS.0178c3ca,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,0,[],0,202,0,0,0,102,0,120,0,120,39,0,81,0,101,2.998858690261841e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNQAS.0178c3ca,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.EqualDistOneShotAgent,0,[],0,474,0,0,0,240,0,320,200,320,143,200,177,0,237,7.997732609510422e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNQAS.0178c3ca,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.greedy.GreedyOneShotAgent,0,[],0,396,0,0,0,200,0,220,100,220,62,100,158,0,198,4.00003045797348e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNQAS.0178c3ca,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,0,[],0,40,0,0,0,21,0,100,100,100,100,100,0,0,20,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNQAS.0178c3ca,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.RandDistOneShotAgent,0,[],0,482,0,0,0,244,0,320,200,320,139,200,181,1,241,6.00004568696022e-07,0,[]
